Date,Event,Category,Description
1990-08-02,Gulf War begins,Geopolitical,Iraq invades Kuwait leading to a sharp drop in regional oil production.
1997-07-01,Asian Financial Crisis,Economic,Currency devaluations collapse asset values and regional industrial energy demand.
2001-09-11,9/11 Terrorist Attacks,Geopolitical,Increased structural risk premium across international supply channels.
2003-03-20,Invasion of Iraq,Geopolitical,Military intervention disrupts Iraqi oil production fields.
2004-01-15,Chinese Industrial Boom,Economic,Explosive GDP growth from China shifts global spare production capacity baselines.
2005-02-24,Model Detected Switchpoint,Statistical,Bayesian change point identifying a permanent shift in price regimes.
2005-08-29,Hurricane Katrina,Environmental,Severe damage to Gulf of Mexico extraction and refinery networks.
2008-07-11,All-Time Price Peak,Economic,Brent crude futures reach a historic high point of $147.50 per barrel.
2008-09-15,Lehman Brothers Collapse,Economic,Global financial crash triggers sharp contraction in cross-border trade and fuel demand.
2011-02-15,Arab Spring Outbreak,Geopolitical,Civil unrest across North Africa and the Middle East impacts supply stability.
2014-11-27,OPEC Market Share Shift,Geopolitical,OPEC maintains high output despite shale boom causing global supply glut.
2020-03-11,COVID-19 Pandemic Declaration,Economic,Global travel lockdowns collapse transportation fuel demand across continents.
